"ProjectNumber","Year","Budget","GrantType","Topic","Country","City"
724994,2016,2000000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","HU","Budapest"
282059,2011,1498500,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","UK","MANCHESTER"
260290,2010,1489715,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","UK","LONDON"
724501,2016,1833214,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","HU","Budapest"
283484,2011,1165350,"Starting Grants","SH1 - Individuals, Markets & Organisations ","HU","Budapest"
101077099,2022,1955000,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","PL","Warsaw"
337490,2013,1456000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE","Berlin"
804662,2018,1495595,"Starting Grants","SH3 - The Social World and its Diversity","SE","GOTHENBURG"
757720,2017,1971468,"Starting Grants","PE3 - Condensed Matter Physics","UK","LEEDS"
852765,2019,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","OXFORD"
758967,2017,1500000,"Starting Grants","SH6 - The Study of the Human Past","DE","MUNCHEN"
101088598,2022,2603510,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","ES",NA
817492,2018,1928169,"Consolidator Grants","SH4 - The Human Mind and its Complexity","UK","COVENTRY"
885220,2019,2347969,"Advanced Grants","SH4 - The Human Mind and its Complexity","UK","BIRMINGHAM"
101101040,2022,150000,"Proof Of Concept","Proof of Concept","CZ",NA
101088623,2022,1996925,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","CZ",NA
963976,2020,150000,"Proof Of Concept","Proof of Concept","FR","Marseille"
716867,2016,1636250,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FR","Marseille"
249440,2009,1120705,"Advanced Grants","SH4 - The Human Mind and its Complexity","DE","Potsdam"
321315,2012,1989300,"Advanced Grants","PE8 - Products & Processes Engineering","PT","PORTO"
101078772,2022,1500000,"Starting Grants","PE2 - Fundamental Constituents of Matter","IL","TEL AVIV"
101045763,2021,1996250,"Consolidator Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL","TEL AVIV"
966826,2020,150000,"Proof Of Concept","Proof of Concept","IL","TEL AVIV"
759296,2017,1496875,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IL","TEL AVIV"
322709,2012,2500000,"Advanced Grants","LS3 - Cellular, Developmental & Regenerative Biology","IL","REHOVOT"
641166,2014,150000,"Proof Of Concept","Proof of Concept","IL","JERUSALEM"
616063,2013,2000000,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IL","JERUSALEM"
203994,2007,1750000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","IL","JERUSALEM"
852223,2019,1495625,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","IL","TEL AVIV"
340210,2013,1529107,"Advanced Grants","PE3 - Condensed Matter Physics","IL","REHOVOT"
101116035,2023,1500000,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NL",NA
819043,2018,1319355,"Consolidator Grants","SH5 - Cultures & Cultural Production","IE","DUBLIN"
101039090,2021,1495000,"Starting Grants","PE6 - Computer Science & Informatics","DE","MUNCHEN"
838058,2018,149919,"Proof Of Concept","Proof of Concept","UK","OXFORD"
695481,2015,2605261,"Advanced Grants","SH4 - The Human Mind and its Complexity","UK","OXFORD"
269670,2010,2367789,"Advanced Grants","SH4 - The Human Mind and its Complexity","UK","OXFORD"
313769,2012,1497476,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","CH","Geneva"
101116134,2023,1658500,"Starting Grants","PE9 - Universe Sciences","NL",NA
101078057,2022,1439816,"Starting Grants","PE1 - Mathematics","DE",NA
101042707,2021,1918969,"Consolidator Grants","PE3 - Condensed Matter Physics","FR","PARIS"
949202,2020,1895897,"Starting Grants","PE5 - Synthetic Chemistry & Materials","NL","EINDHOVEN"
862149,2019,150000,"Proof Of Concept","Proof of Concept","ES","Castelldefels"
692876,2015,2503459,"Advanced Grants","PE3 - Condensed Matter Physics","ES","Castelldefels"
279278,2011,1996789,"Starting Grants","PE3 - Condensed Matter Physics","ES","Castelldefels"
637313,2014,1521137,"Starting Grants","PE5 - Synthetic Chemistry & Materials","UK","COVENTRY"
206994,2007,1027633,"Starting Grants","SH1 - Individuals, Markets & Organisations ","UK","Norwich"
101097240,2022,2491015,"Advanced Grants","SH3 - The Social World and its Diversity","IE",NA
966786,2020,150000,"Proof Of Concept","Proof of Concept","CH","LAUSANNE"
695459,2015,2929875,"Advanced Grants","PE7 - Systems & Communication Engineering","CH","LAUSANNE"
817919,2018,1999563,"Consolidator Grants","PE10 - Earth System Science","CH","Bern"
758935,2017,1491013,"Starting Grants","PE3 - Condensed Matter Physics","UK","Edinburgh"
899863,2019,150000,"Proof Of Concept","Proof of Concept","UK","Cambridge"
681373,2015,1999535,"Consolidator Grants","LS6 - Immunity, Infection & Immunotherapy","UK","Cambridge"
260623,2010,1496688,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","BE","ZWIJNAARDE"
617605,2013,1889684,"Consolidator Grants","PE6 - Computer Science & Informatics","CH","ZURICH"
648716,2014,1985699,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","UK","LONDON"
267116,2010,1324797,"Advanced Grants","PE1 - Mathematics","AT","VIENNA"
101021207,2020,2482332,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","UK","BRISTOL"
694295,2015,2499717,"Advanced Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","UK","EDINBURGH"
101078631,2022,1496658,"Starting Grants","SH6 - The Study of the Human Past","AT","VIENNA"
754695,2016,149300,"Proof Of Concept","Proof of Concept","UK","CANTERBURY"
680879,2015,149917,"Proof Of Concept","Proof of Concept","UK","CANTERBURY"
249889,2009,1999241,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","CANTERBURY"
294557,2011,1997927,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","UK","OXFORD"
101044932,2021,1992181,"Consolidator Grants","SH6 - The Study of the Human Past","DE","BERLIN"
804288,2018,1424856,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","NO","Bergen"
322977,2012,1445381,"Advanced Grants","LS4 - Physiology in Health, Disease & Ageing","IT","MILAN"
949645,2020,1113750,"Starting Grants","SH5 - Cultures & Cultural Production","IT","BOLOGNA"
768415,2017,150000,"Proof Of Concept","Proof of Concept","CH","ZURICH"
670958,2014,2500000,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","CH","ZURICH"
250356,2009,2500000,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","CH","ZURICH"
308126,2012,1422420,"Starting Grants","PE10 - Earth System Science","NO","OSLO"
320637,2012,2190000,"Advanced Grants","PE1 - Mathematics","NL","LEIDEN"
307483,2012,1481294,"Starting Grants","PE6 - Computer Science & Informatics","FR","Clermont-Ferrand"
101152624,2023,150000,"Proof Of Concept","Proof of Concept","FR",NA
714221,2016,1482761,"Starting Grants","PE6 - Computer Science & Informatics","FR","LE CHESNAY CEDEX"
803004,2018,1499360,"Starting Grants","PE5 - Synthetic Chemistry & Materials","FR","PARIS"
310970,2012,1499231,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","UK","LONDON"
787462,2017,150000,"Proof Of Concept","Proof of Concept","FR","Clermont-Ferrand"
665712,2014,149624,"Proof Of Concept","Proof of Concept","UK","LONDON"
101076814,2022,1685085,"Starting Grants","PE2 - Fundamental Constituents of Matter","FR",NA
716931,2016,1499192,"Starting Grants","SH4 - The Human Mind and its Complexity","FR","PARIS"
757565,2017,1498106,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","CH","ZURICH"
203291,2007,1616719,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","BE","LEUVEN"
320974,2012,1406551,"Advanced Grants","PE1 - Mathematics","UK","EDINBURGH"
282046,2011,1491660,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","FR","PARIS"
648787,2014,1968709,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","NL","EINDHOVEN"
639046,2014,1177905,"Starting Grants","PE1 - Mathematics","UK","COVENTRY"
259152,2010,1212960,"Starting Grants","PE6 - Computer Science & Informatics","EL","Athens"
101116206,2023,1498634,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","AT",NA
716155,2016,1370200,"Starting Grants","PE9 - Universe Sciences","HU","Sopron"
284236,2011,1449836,"Starting Grants","SH4 - The Human Mind and its Complexity","HU","Budapest"
101116284,2023,1494150,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","DE",NA
267579,2010,2148796,"Advanced Grants","PE3 - Condensed Matter Physics","FR","Orsay"
101002724,2020,1973485,"Consolidator Grants","PE8 - Products & Processes Engineering","IT","GENOVA"
715058,2016,1499937,"Starting Grants","SH4 - The Human Mind and its Complexity","IT","GENOVA"
101077790,2022,1499925,"Starting Grants","SH6 - The Study of the Human Past","PL",NA
101076237,2022,1499928,"Starting Grants","SH6 - The Study of the Human Past","HU",NA
101069234,2022,150000,"Proof Of Concept","Proof of Concept","ES","MADRID"
201665,2007,1250000,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","IL","HAIFA"
101055025,2021,2485281,"Advanced Grants","PE6 - Computer Science & Informatics","DE","DARMSTADT"
101078069,2022,1499816,"Starting Grants","LS6 - Immunity, Infection & Immunotherapy","DE","BERLIN"
820074,2018,1999263,"Consolidator Grants","LS6 - Immunity, Infection & Immunotherapy","AT","Vienna"
101088599,2022,1984243,"Consolidator Grants","SH7 - Human Mobility, Environment & Space","NO",NA
678202,2015,1499865,"Starting Grants","PE5 - Synthetic Chemistry & Materials","IE","DUBLIN"
313755,2012,1453284,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","LONDON"
211166,2007,1128400,"Starting Grants","PE6 - Computer Science & Informatics","EL","Thessaloniki"
724703,2016,1999250,"Consolidator Grants","SH6 - The Study of the Human Past","DE","TUBINGEN"
283503,2011,1288200,"Starting Grants","SH6 - The Study of the Human Past","DE","TUBINGEN"
818070,2018,1989376,"Consolidator Grants","SH4 - The Human Mind and its Complexity","UK","LONDON"
803211,2018,1499819,"Starting Grants","SH3 - The Social World and its Diversity","NO","OSLO"
101040270,2021,1500000,"Starting Grants","SH5 - Cultures & Cultural Production","IE","DUBLIN"
101041249,2021,1474995,"Starting Grants","PE1 - Mathematics","AT","VIENNA"
772080,2017,1985288,"Consolidator Grants","PE8 - Products & Processes Engineering","UK","LONDON"
305410,2012,1489309,"Starting Grants","PE8 - Products & Processes Engineering","UK","LONDON"
101086771,2022,1998793,"Consolidator Grants","LS8 - Environmental Biology, Ecology & Evolution","ES","LEIOA"
850604,2019,995040,"Starting Grants","SH5 - Cultures & Cultural Production","ES","Salamanca"
101042147,2021,1499959,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","IE","Maynooth"
101088427,2022,2000000,"Consolidator Grants","SH2 - Institutions, Governance & Legal Systems","IE",NA
841063,2018,149952,"Proof Of Concept","Proof of Concept","ES","San Sebastian"
101069356,2022,150000,"Proof Of Concept","Proof of Concept","ES","San Sebastian"
648071,2014,1718850,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","ES","San Sebastian"
101042370,2021,1469914,"Starting Grants","PE7 - Systems & Communication Engineering","NL","GRONINGEN"
101043957,2021,2597500,"Consolidator Grants","PE3 - Condensed Matter Physics","DE","MUNCHEN"
101003111,2020,2241271,"Consolidator Grants","LS9 - Biotechnology & Biosystems Engineering","UK","Newcastle Upon Tyne"
679479,2015,1758846,"Starting Grants","LS9 - Biotechnology & Biosystems Engineering","UK","Newcastle Upon Tyne"
715836,2016,1499244,"Starting Grants","PE10 - Earth System Science","UK","Cardiff"
676835,2015,149996,"Proof Of Concept","Proof of Concept","UK","CAMBRIDGE"
281348,2011,1998056,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","CAMBRIDGE"
101043486,2021,2993579,"Consolidator Grants","PE9 - Universe Sciences","NL","DELFT"
101002690,2020,1998125,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","CH","Bern"
101117889,2023,1499568,"Starting Grants","SH2 - Institutions, Governance & Legal Systems","SE",NA
201667,2007,1622360,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","FI","HELSINKI"
966760,2020,150000,"Proof Of Concept","Proof of Concept","UK","CAMBRIDGE"
758826,2017,1499585,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","UK","CAMBRIDGE"
101039994,2021,1583644,"Starting Grants","PE5 - Synthetic Chemistry & Materials","DE","Bonn"
267775,2010,2130000,"Advanced Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
202844,2007,1364478,"Starting Grants","PE8 - Products & Processes Engineering","FR","PARIS"
680465,2015,150000,"Proof Of Concept","Proof of Concept","FR","PARIS"
249816,2009,1719600,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","FR","PARIS"
101052913,2021,2370431,"Advanced Grants","PE10 - Earth System Science","FR","Grenoble"
294509,2011,2494480,"Advanced Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","FR","PARIS"
245728,2009,583092,"Advanced Grants","PE1 - Mathematics","CH","ZURICH"
268506,2010,1459538,"Advanced Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","UK","Swindon"
204083,2007,750000,"Starting Grants","PE1 - Mathematics","UK","OXFORD"
307593,2012,1476891,"Starting Grants","PE3 - Condensed Matter Physics","UK","LONDON"
727738,2016,149962,"Proof Of Concept","Proof of Concept","UK","Glasgow"
278389,2011,1479707,"Starting Grants","PE7 - Systems & Communication Engineering","UK","Glasgow"
695487,2015,2434090,"Advanced Grants","PE8 - Products & Processes Engineering","UK","CAMBRIDGE"
834455,2018,2175289,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","UK","LONDON"
670010,2014,2447052,"Advanced Grants","SH6 - The Study of the Human Past","UK","OXFORD"
278636,2011,1419968,"Starting Grants","PE10 - Earth System Science","UK","LEEDS"
313454,2012,1451927,"Starting Grants","SH4 - The Human Mind and its Complexity","NL","NIJMEGEN"
233232,2008,2494963,"Advanced Grants","LS9 - Biotechnology & Biosystems Engineering","UK","CAMBRIDGE"
957506,2020,150000,"Proof Of Concept","Proof of Concept","UK","London"
812904,2018,149526,"Proof Of Concept","Proof of Concept","UK","London"
852176,2019,1499994,"Starting Grants","SH6 - The Study of the Human Past","NL","LEIDEN"
639938,2014,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","NL","MAASTRICHT"
250209,2009,1749277,"Advanced Grants","LS8 - Environmental Biology, Ecology & Evolution","UK","BRISTOL"
949821,2020,1553043,"Starting Grants","PE5 - Synthetic Chemistry & Materials","UK","BRISTOL"
757295,2017,1481184,"Starting Grants","SH4 - The Human Mind and its Complexity","UK","BIRMINGHAM"
259209,2010,1115970,"Starting Grants","PE2 - Fundamental Constituents of Matter","DE","MUNCHEN"
648082,2014,1998655,"Consolidator Grants","SH4 - The Human Mind and its Complexity","NL","Amsterdam"
648276,2014,1725656,"Consolidator Grants","PE6 - Computer Science & Informatics","ES","BARCELONA"
338977,2013,1848000,"Advanced Grants","PE1 - Mathematics","FR","Sorbonne"
240978,2009,1088904,"Starting Grants","SH3 - The Social World and its Diversity","ES","Barcelona"
259663,2010,1303606,"Starting Grants","PE7 - Systems & Communication Engineering","ES","BARCELONA"
725411,2016,1888033,"Consolidator Grants","PE7 - Systems & Communication Engineering","ES","BARCELONA"
788547,2017,1524144,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","ES","Barcelona"
324048,2012,1970260,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","ES","Cerdanyola Del Valles"
101019932,2020,2495485,"Advanced Grants","PE2 - Fundamental Constituents of Matter","NL","UTRECHT"
825854,2018,150000,"Proof Of Concept","Proof of Concept","NL","UTRECHT"
695343,2015,2495625,"Advanced Grants","PE3 - Condensed Matter Physics","NL","UTRECHT"
267634,2010,2286000,"Advanced Grants","PE3 - Condensed Matter Physics","NL","UTRECHT"
101069316,2022,150000,"Proof Of Concept","Proof of Concept","ES","CERDANYOLA DEL VALLES"
825569,2018,150000,"Proof Of Concept","Proof of Concept","ES","CERDANYOLA DEL VALLES"
638106,2014,1500000,"Starting Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","ES","CERDANYOLA DEL VALLES"
865657,2019,1890731,"Consolidator Grants","PE9 - Universe Sciences","ES","CERDANYOLA DEL VALLES"
101158325,2023,150000,"Proof Of Concept","Proof of Concept","DK",NA
101002179,2020,1976164,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","DK","COPENHAGEN"
825797,2018,150000,"Proof Of Concept","Proof of Concept","DK","COPENHAGEN"
638765,2014,1495073,"Starting Grants","PE2 - Fundamental Constituents of Matter","DK","COPENHAGEN"
101066321,2022,150000,"Proof Of Concept","Proof of Concept","ES","SANT ADRIA DE BESOS"
897025,2019,150000,"Proof Of Concept","Proof of Concept","NL","ENSCHEDE"
727641,2016,150000,"Proof Of Concept","Proof of Concept","NL","ENSCHEDE"
669768,2014,2250000,"Advanced Grants","PE7 - Systems & Communication Engineering","NL","ENSCHEDE"
669768,2014,2250000,"Advanced Grants","PE7 - Systems & Communication Engineering","NL","ENSCHEDE"
226338,2008,2382442,"Advanced Grants","PE7 - Systems & Communication Engineering","NL","ENSCHEDE"
617199,2013,1999823,"Consolidator Grants","PE9 - Universe Sciences","NL","UTRECHT"
679734,2015,1500000,"Starting Grants","LS1 - Molecules of Life: Biological Mechanisms, Structures & Functions","FR","Illkirch-Graffenstaden"
865151,2019,1999973,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","FR","PARIS"
335585,2013,1499950,"Starting Grants","PE3 - Condensed Matter Physics","FR","PARIS"
101097155,2022,2492303,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT",NA
755075,2016,150000,"Proof Of Concept","Proof of Concept","IT","Roma"
694323,2015,2499564,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT","Roma"
282085,2011,1500000,"Starting Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT","Roma"
200808,2007,996000,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","FR","Paris"
101020342,2020,2489232,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","IT","TORINO"
228045,2008,1751067,"Advanced Grants","PE6 - Computer Science & Informatics","IT","Parma"
101115960,2023,1451568,"Starting Grants","LS8 - Environmental Biology, Ecology & Evolution","IT",NA
692981,2015,2362950,"Advanced Grants","PE5 - Synthetic Chemistry & Materials","IT","BOLOGNA"
948804,2020,1499858,"Starting Grants","PE7 - Systems & Communication Engineering","NL","EINDHOVEN"
716375,2016,1493479,"Starting Grants","SH6 - The Study of the Human Past","FR","Pessac"
851055,2019,1499989,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","UK","LONDON"
862342,2019,1825163,"Consolidator Grants","PE1 - Mathematics","ES","MADRID"
862342,2019,1825163,"Consolidator Grants","PE1 - Mathematics","ES","MADRID"
633152,2014,1256375,"Starting Grants","PE1 - Mathematics","ES","MADRID"
716878,2016,1499219,"Starting Grants","PE5 - Synthetic Chemistry & Materials","ES","Derio"
101138844,2023,150000,"Proof Of Concept","Proof of Concept","ES",NA
101069368,2022,150000,"Proof Of Concept","Proof of Concept","ES","Derio"
101082338,2022,150000,"Proof Of Concept","Proof of Concept","ES","Derio"
639495,2014,1404132,"Starting Grants","PE8 - Products & Processes Engineering","IT","Torino"
101059685,2022,150000,"Proof Of Concept","Proof of Concept","IT","ROMA"
803213,2018,1496250,"Starting Grants","PE8 - Products & Processes Engineering","IT","ROMA"
818602,2018,1998368,"Consolidator Grants","PE9 - Universe Sciences","ES","MADRID"
307496,2012,1411200,"Starting Grants","PE9 - Universe Sciences","ES","MADRID"
875015,2019,150000,"Proof Of Concept","Proof of Concept","IT","MILAN"
617603,2013,1485600,"Consolidator Grants","PE8 - Products & Processes Engineering","IT","MILAN"
669415,2014,2497081,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","IT","Rozzano"
233417,2008,2066200,"Advanced Grants","LS6 - Immunity, Infection & Immunotherapy","IT","Rozzano"
101052964,2021,1336250,"Advanced Grants","SH1 - Individuals, Markets & Organisations ","ES","Barcelona"
615651,2013,979800,"Consolidator Grants","SH1 - Individuals, Markets & Organisations ","ES","Barcelona"
788582,2017,2852655,"Advanced Grants","SH3 - The Social World and its Diversity","ES","MADRID"
819134,2018,1999955,"Consolidator Grants","PE6 - Computer Science & Informatics","ES","Murcia"
260632,2010,1491600,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","UK","Newcastle Upon Tyne"
818691,2018,1532750,"Consolidator Grants","PE9 - Universe Sciences","IT","Milan"
681146,2015,1841387,"Consolidator Grants","PE8 - Products & Processes Engineering","ES","SANT ADRIA DE BESOS"
864045,2019,2474368,"Consolidator Grants","PE10 - Earth System Science","IT","BOLOGNA"
250136,2009,2187758,"Advanced Grants","LS7 - Prevention, Diagnosis & Treatment of Human Diseases","NL","ROTTERDAM"
204135,2007,812399,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","DK","COPENHAGEN"
950357,2020,1499945,"Starting Grants","SH4 - The Human Mind and its Complexity","PT","Lisbon"
683008,2015,1925250,"Consolidator Grants","PE6 - Computer Science & Informatics","DE","MUNCHEN"
772086,2017,1128750,"Consolidator Grants","PE9 - Universe Sciences","EL","Athens"
320541,2012,2187650,"Advanced Grants","PE8 - Products & Processes Engineering","CH","ZURICH"
648734,2014,1028750,"Consolidator Grants","LS5 - Neuroscience & Disorders of the Nervous Systems","IT","ROMA"
258685,2010,540000,"Starting Grants","PE1 - Mathematics","DE","ERLANGEN"
725039,2016,1999926,"Consolidator Grants","PE2 - Fundamental Constituents of Matter","CH","Villigen"
670436,2014,2025000,"Advanced Grants","SH6 - The Study of the Human Past","IT","ROMA"
742422,2016,2499356,"Advanced Grants","PE4 - Physical & Analytical Chemical Sciences","DE","MUNCHEN"
716641,2016,1528442,"Starting Grants","PE4 - Physical & Analytical Chemical Sciences","FR","PALAISEAU"
101069360,2022,150000,"Proof Of Concept","Proof of Concept","FR","PALAISEAU"
101001095,2020,2007023,"Consolidator Grants","SH4 - The Human Mind and its Complexity","FR","PARIS"
101069244,2022,150000,"Proof Of Concept","Proof of Concept","FR","AMIENS"
772873,2017,1976445,"Consolidator Grants","PE8 - Products & Processes Engineering","FR","PARIS"
647301,2014,1827375,"Consolidator Grants","PE5 - Synthetic Chemistry & Materials","ES","VALENCIA"
681257,2015,1960826,"Consolidator Grants","PE10 - Earth System Science","ES","MADRID"
646869,2014,1876778,"Consolidator Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","ES","MADRID"
851470,2019,1498428,"Starting Grants","LS2 - Integrative Biology: From Genes & Genomes to Systems","AT","VIENNA"
101115798,2023,1499945,"Starting Grants","SH4 - The Human Mind and its Complexity","ES",NA
638891,2014,1846494,"Starting Grants","LS4 - Physiology in Health, Disease & Ageing","ES","Madrid"
101042992,2021,1500000,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","ES","BARCELONA"
101075821,2022,1499630,"Starting Grants","PE3 - Condensed Matter Physics","AT","Leoben"
724464,2016,1999895,"Consolidator Grants","PE6 - Computer Science & Informatics","ES","POZUELO DE ALARCON"
949914,2020,1702705,"Starting Grants","LS3 - Cellular, Developmental & Regenerative Biology","CH","LAUSANNE"
263735,2010,1199909,"Starting Grants","SH6 - The Study of the Human Past","UK","Reading"
772464,2017,1999962,"Consolidator Grants","PE8 - Products & Processes Engineering","AT","VIENNA"
